index,annotation,type,ordinal,charge
0,b1+1,b,1,1
1,b1+2,b,1,2
2,b1+3,b,1,3
3,b2+1,b,2,1
4,b2+2,b,2,2
5,b2+3,b,2,3
6,b3+1,b,3,1
7,b3+2,b,3,2
8,b3+3,b,3,3
9,b4+1,b,4,1
10,b4+2,b,4,2
11,b4+3,b,4,3
12,b5+1,b,5,1
13,b5+2,b,5,2
14,b5+3,b,5,3
15,b6+1,b,6,1
16,b6+2,b,6,2
17,b6+3,b,6,3
18,b7+1,b,7,1
19,b7+2,b,7,2
20,b7+3,b,7,3
21,b8+1,b,8,1
22,b8+2,b,8,2
23,b8+3,b,8,3
24,b9+1,b,9,1
25,b9+2,b,9,2
26,b9+3,b,9,3
27,b10+1,b,10,1
28,b10+2,b,10,2
29,b10+3,b,10,3
30,b11+1,b,11,1
31,b11+2,b,11,2
32,b11+3,b,11,3
33,b12+1,b,12,1
34,b12+2,b,12,2
35,b12+3,b,12,3
36,b13+1,b,13,1
37,b13+2,b,13,2
38,b13+3,b,13,3
39,b14+1,b,14,1
40,b14+2,b,14,2
41,b14+3,b,14,3
42,b15+1,b,15,1
43,b15+2,b,15,2
44,b15+3,b,15,3
45,b16+1,b,16,1
46,b16+2,b,16,2
47,b16+3,b,16,3
48,b17+1,b,17,1
49,b17+2,b,17,2
50,b17+3,b,17,3
51,b18+1,b,18,1
52,b18+2,b,18,2
53,b18+3,b,18,3
54,b19+1,b,19,1
55,b19+2,b,19,2
56,b19+3,b,19,3
57,b20+1,b,20,1
58,b20+2,b,20,2
59,b20+3,b,20,3
60,b21+1,b,21,1
61,b21+2,b,21,2
62,b21+3,b,21,3
63,b22+1,b,22,1
64,b22+2,b,22,2
65,b22+3,b,22,3
66,b23+1,b,23,1
67,b23+2,b,23,2
68,b23+3,b,23,3
69,b24+1,b,24,1
70,b24+2,b,24,2
71,b24+3,b,24,3
72,b25+1,b,25,1
73,b25+2,b,25,2
74,b25+3,b,25,3
75,b26+1,b,26,1
76,b26+2,b,26,2
77,b26+3,b,26,3
78,b27+1,b,27,1
79,b27+2,b,27,2
80,b27+3,b,27,3
81,b28+1,b,28,1
82,b28+2,b,28,2
83,b28+3,b,28,3
84,b29+1,b,29,1
85,b29+2,b,29,2
86,b29+3,b,29,3
87,y1+1,y,1,1
88,y1+2,y,1,2
89,y1+3,y,1,3
90,y2+1,y,2,1
91,y2+2,y,2,2
92,y2+3,y,2,3
93,y3+1,y,3,1
94,y3+2,y,3,2
95,y3+3,y,3,3
96,y4+1,y,4,1
97,y4+2,y,4,2
98,y4+3,y,4,3
99,y5+1,y,5,1
100,y5+2,y,5,2
101,y5+3,y,5,3
102,y6+1,y,6,1
103,y6+2,y,6,2
104,y6+3,y,6,3
105,y7+1,y,7,1
106,y7+2,y,7,2
107,y7+3,y,7,3
108,y8+1,y,8,1
109,y8+2,y,8,2
110,y8+3,y,8,3
111,y9+1,y,9,1
112,y9+2,y,9,2
113,y9+3,y,9,3
114,y10+1,y,10,1
115,y10+2,y,10,2
116,y10+3,y,10,3
117,y11+1,y,11,1
118,y11+2,y,11,2
119,y11+3,y,11,3
120,y12+1,y,12,1
121,y12+2,y,12,2
122,y12+3,y,12,3
123,y13+1,y,13,1
124,y13+2,y,13,2
125,y13+3,y,13,3
126,y14+1,y,14,1
127,y14+2,y,14,2
128,y14+3,y,14,3
129,y15+1,y,15,1
130,y15+2,y,15,2
131,y15+3,y,15,3
132,y16+1,y,16,1
133,y16+2,y,16,2
134,y16+3,y,16,3
135,y17+1,y,17,1
136,y17+2,y,17,2
137,y17+3,y,17,3
138,y18+1,y,18,1
139,y18+2,y,18,2
140,y18+3,y,18,3
141,y19+1,y,19,1
142,y19+2,y,19,2
143,y19+3,y,19,3
144,y20+1,y,20,1
145,y20+2,y,20,2
146,y20+3,y,20,3
147,y21+1,y,21,1
148,y21+2,y,21,2
149,y21+3,y,21,3
150,y22+1,y,22,1
151,y22+2,y,22,2
152,y22+3,y,22,3
153,y23+1,y,23,1
154,y23+2,y,23,2
155,y23+3,y,23,3
156,y24+1,y,24,1
157,y24+2,y,24,2
158,y24+3,y,24,3
159,y25+1,y,25,1
160,y25+2,y,25,2
161,y25+3,y,25,3
162,y26+1,y,26,1
163,y26+2,y,26,2
164,y26+3,y,26,3
165,y27+1,y,27,1
166,y27+2,y,27,2
167,y27+3,y,27,3
168,y28+1,y,28,1
169,y28+2,y,28,2
170,y28+3,y,28,3
171,y29+1,y,29,1
172,y29+2,y,29,2
173,y29+3,y,29,3
